Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,11.25,11.29,10.72,10.8,10.8,66875500
2017-11-02,10.87,10.99,10.66,10.85,10.85,47942500
2017-11-03,10.95,11.13,10.82,11.12,11.12,44264300
2017-11-06,12.04,12.09,11.64,11.93,11.93,96349800
2017-11-07,11.94,12.27,11.92,12.05,12.05,67900200
2017-11-08,11.94,11.95,11.51,11.71,11.71,59065000
2017-11-09,11.25,11.35,11.03,11.12,11.12,76821200
2017-11-10,11.22,11.43,11.12,11.26,11.26,50209900
2017-11-13,11.18,11.2,10.92,11.09,11.09,54068300
2017-11-14,11.03,11.26,11,11.12,11.12,37245000
2017-11-15,11.01,11.13,10.77,11.07,11.07,33524700
2017-11-16,11.13,11.32,11.13,11.25,11.25,31800400
2017-11-17,11.3,11.75,11.28,11.38,11.38,56775600
2017-11-20,11.47,11.51,11.19,11.34,11.34,35960200
2017-11-21,11.42,11.49,11.24,11.4,11.4,31881700
2017-11-22,11.41,11.49,11.3,11.37,11.37,23816500
2017-11-24,11.38,11.42,11.3,11.38,11.38,11035800
2017-11-27,11.34,11.74,11.34,11.55,11.55,41798300
2017-11-28,11.45,11.54,11,11.17,11.17,65325700
2017-11-29,11.08,11.17,10.73,10.83,10.83,63333800
2017-11-30,10.87,11.03,10.76,10.89,10.89,43205000
2017-12-01,10.81,10.97,10.53,10.73,10.73,42128800
2017-12-04,10.85,10.86,9.82,10.03,10.03,97328300
2017-12-05,9.89,10.34,9.7,9.91,9.91,67304100
2017-12-06,9.9,10.05,9.71,10,10,38952200
2017-12-07,10.07,10.19,9.95,10.04,10.04,32665600
2017-12-08,10.15,10.2,9.92,9.94,9.94,34897000
2017-12-11,9.97,10.16,9.96,10.16,10.16,29956400
2017-12-12,10.13,10.14,9.88,9.9,9.9,36211000
2017-12-13,9.97,10.21,9.95,10.11,10.11,41494800
2017-12-14,10.1,10.17,9.96,10.13,10.13,28969900
2017-12-15,10.13,10.32,10.02,10.29,10.29,45462280
