date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-04-15,55.5288,55.6445,54.5599,54.5989,79157071,11308153,-1.2939,-2.315,54.9948,"Apr 15, 13",0
2013-04-16,54.8226,55.478,54.6926,55.4299,76222076,10888868,0.83098,1.522,55.1384,"Apr 16, 13",0.015220086851566663
2013-04-17,54.6536,54.6965,51.7718,52.3817,236138966,33734138,-3.0482,-5.499,52.8089,"Apr 17, 13",-0.04060887673561186
2013-04-18,52.6665,52.7705,50.6836,50.9837,166438048,23776864,-1.398,-2.669,51.4236,"Apr 18, 13",-0.06621378818987199
2013-04-19,50.4531,51.9656,50.0799,50.7861,152194413,21742059,-0.197667,-0.388,51.117,"Apr 19, 13",-0.06983290872160433
2013-04-22,51.0605,52.3037,50.8829,51.8446,107338322,15334046,1.0586,2.084,51.5998,"Apr 22, 13",-0.050446071257845865
2013-04-23,52.5364,53.1075,51.8628,52.8147,160760747,22965821,0.970129,1.871,53.0578,"Apr 23, 13",-0.03267831403196765
2013-04-24,51.1775,54.0007,51.0422,52.7279,242387530,34626790,-0.086871,-0.164,52.4957,"Apr 24, 13",-0.034268089650157825
2013-04-25,53.4773,53.8304,52.9279,53.1073,95984896,13712128,0.379469,0.72,53.3015,"Apr 25, 13",-0.02731923170613324
2013-04-26,53.2933,54.4584,53.0904,54.255,191006032,27286576,1.1476,2.161,53.9288,"Apr 26, 13",-0.006298661694649487
2013-04-29,54.677,56.3893,54.6185,55.9345,159958876,22851268,1.6795,3.096,55.7966,"Apr 29, 13",0.024462031286344586
2013-04-30,56.5821,57.9021,56.1881,57.5809,172737600,24676800,1.6464,2.943,57.1781,"Apr 30, 13",0.054616484947498926
2013-05-01,57.7993,57.8604,56.4898,57.127,126720237,18102891,-0.453855,-0.788,57.1217,"May 1, 13",0.046303130649152306
2013-05-02,57.4508,58.3364,57.3013,57.9372,105449078,15064154,0.810175,1.418,58.0741,"May 2, 13",0.061142257444746995
2013-05-03,58.6901,58.9398,58.4092,58.5172,90319201,12902743,0.579995,1.001,58.6445,"May 3, 13",0.07176518208242294
2013-05-06,59.2623,60.1063,59.0803,59.9125,124017747,17716821,1.3954,2.385,59.7946,"May 6, 13",0.09732064199095587
2013-05-07,60.4665,60.568,59.0009,59.6457,120499960,17214280,-0.26685,-0.445,59.7079,"May 7, 13",0.09243409665762492
2013-05-08,59.6954,60.5185,59.2753,60.3196,118010781,16858683,0.673886,1.13,60.1968,"May 8, 13",0.10477683616336594
2013-05-09,60.1913,60.6089,59.6376,59.7934,99555337,14222191,-0.526208,-0.872,60.1382,"May 9, 13",0.095139279362771
2013-05-10,59.9505,60.1782,58.97,59.2959,83631828,11947404,-0.497438,-0.832,59.3655,"May 10, 13",0.0860273741778681
2013-05-13,59.1048,59.9413,59.1035,59.5276,79220953,11317279,0.231702,0.391,59.6123,"May 13, 13",0.09027104941674648
2013-05-14,59.4111,59.5878,57.8795,58.1034,111647130,15949590,-1.4242,-2.393,58.6668,"May 14, 13",0.06418627481506038
2013-05-15,57.4881,57.729,55.2889,56.1385,185278968,26468424,-1.9649,-3.382,56.3834,"May 15, 13",0.028198370296837482
2013-05-16,55.4041,57.3166,54.836,56.8883,150794546,21542078,0.749822,1.336,56.4997,"May 16, 13",0.04193124769912948
2013-05-17,57.4737,57.6099,56.4213,56.7158,106973181,15281883,-0.172533,-0.303,56.871,"May 17, 13",0.03877184338878624
2013-05-20,56.5391,58.3573,56.3021,57.9816,112681030,16097290,1.2659,2.232,57.7399,"May 20, 13",0.061955460641148444
2013-05-21,57.3559,58.3155,56.8388,57.5536,113921367,16274481,-0.428057,-0.738,57.5652,"May 21, 13",0.05411647487403597
2013-05-22,58.1283,58.6911,57.3651,57.7753,110727309,15818187,0.221752,0.385,58.1161,"May 22, 13",0.058176996239851
2013-05-23,57.0679,58.4045,57.047,57.8782,88244695,12606385,0.102889,0.178,57.896,"May 23, 13",0.06006164959367312
2013-05-24,57.7094,58.339,57.6452,58.2723,69036716,9862388,0.394022,0.681,58.1391,"May 24, 13",0.06727974373110082
2013-05-28,58.8941,59.0524,57.7094,57.7865,96404189,13772027,-0.485786,-0.834,58.2512,"May 28, 13",0.0583821285776819
2013-05-29,57.5981,58.5799,57.5196,58.2461,82641944,11805992,0.459607,0.795,58.206,"May 29, 13",0.06679988058367473
2013-05-30,58.3377,59.4962,58.1885,59.114,88379522,12625646,0.867898,1.49,58.8711,"May 30, 13",0.08269580522684516
2013-05-31,59.2344,59.8366,58.8417,58.8725,95832240,13690320,-0.241519,-0.409,59.424,"May 31, 13",0.07827263919236471
2013-06-03,59.0027,59.2161,57.9227,59.0014,92926932,13275276,0.128941,0.219,58.0266,"Jun 3, 13",0.08063349261615153
2013-06-04,59.3287,59.487,58.5655,58.8168,72860221,10408603,-0.184574,-0.313,59.0686,"Jun 4, 13",0.07725247211940167
2013-06-05,58.3377,59.0014,58.0838,58.267,72545760,10363680,-0.5498,-0.935,58.4312,"Jun 5, 13",0.06718267217837727
2013-06-06,58.3141,58.5144,56.8192,57.3965,104230322,14890046,-0.87052,-1.494,57.4335,"Jun 6, 13",0.051239127528210325
2013-06-07,57.1399,58.0222,56.6517,57.8352,101120551,14445793,0.438665,0.764,57.4051,"Jun 7, 13",0.05927408793950061
2013-06-10,58.2173,58.7866,57.1792,57.4528,112522179,16074597,-0.382373,-0.661,58.5288,"Jun 10, 13",0.05227028383355714
2013-06-11,57.0404,57.9594,56.7236,57.2839,71526560,10218080,-0.168867,-0.294,57.5309,"Jun 11, 13",0.049176814917516694
2013-06-12,57.5326,57.7617,56.4854,56.5757,66295887,9470841,-0.708193,-1.236,56.9735,"Jun 12, 13",0.03620585762716826
2013-06-13,56.6163,57.2237,56.1254,57.0699,71456693,10208099,0.494164,0.873,56.6661,"Jun 13, 13",0.04525732203396033
2013-06-14,56.9959,57.1124,56.0927,56.2956,67962419,9708917,-0.774303,-1.357,56.4795,"Jun 14, 13",0.031075717642663127
2013-06-17,56.4775,57.0352,56.3364,56.5509,64818670,9259810,0.255264,0.453,56.6855,"Jun 17, 13",0.0357516360219711
2013-06-18,56.4933,56.9305,56.3165,56.5207,48753768,6964824,-0.030108,-0.053,56.61,"Jun 18, 13",0.0351985113253197
2013-06-19,56.4723,56.5063,55.3727,55.3727,77715057,11102151,-1.148,-2.031,55.83,"Jun 19, 13",0.014172446697644116
2013-06-20,54.8884,55.7628,54.3477,54.5661,89327210,12761030,-0.806635,-1.457,54.9871,"Jun 20, 13",-0.0006007447036479071
