date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-04-15,2.45,2.465,2.4,2.4,11522233,11522233,-0.08,-3.226,2.4211,"Apr 15, 13",0
2013-04-16,2.43,2.44,2.4,2.44,10953864,10953864,0.04,1.667,2.4165,"Apr 16, 13",0.016666666666666684
2013-04-17,2.41,2.47,2.4,2.4,14815585,14815585,-0.04,-1.639,2.4165,"Apr 17, 13",0
2013-04-18,2.4,2.56,2.2887,2.51,27156231,27156231,0.11,4.583,2.4279,"Apr 18, 13",0.04583333333333328
2013-04-19,2.44,2.5,2.39,2.47,25040150,25040150,-0.04,-1.594,2.4318,"Apr 19, 13",0.029166666666666785
2013-04-22,2.47,2.51,2.43,2.46,14131636,14131636,-0.01,-0.405,2.4674,"Apr 22, 13",0.025000000000000022
2013-04-23,2.5,2.55,2.47,2.53,14550354,14550354,0.07,2.846,2.5213,"Apr 23, 13",0.05416666666666663
2013-04-24,2.54,2.62,2.5222,2.61,16537782,16537782,0.08,3.162,2.5748,"Apr 24, 13",0.0875
2013-04-25,2.63,2.72,2.63,2.68,20957069,20957069,0.07,2.682,2.6843,"Apr 25, 13",0.11666666666666678
2013-04-26,2.66,2.68,2.6,2.64,17303811,17303811,-0.04,-1.493,2.6304,"Apr 26, 13",0.10000000000000009
2013-04-29,2.66,2.7,2.65,2.68,11207562,11207562,0.04,1.515,2.6779,"Apr 29, 13",0.11666666666666678
2013-04-30,2.68,2.82,2.67,2.82,32634737,32634737,0.14,5.224,2.77,"Apr 30, 13",0.175
2013-05-01,2.81,3.28,2.79,3.22,87978171,87978171,0.4,14.184,3.0811,"May 1, 13",0.3416666666666668
2013-05-02,3.16,3.48,3.14,3.41,74152155,74152155,0.19,5.901,3.3226,"May 2, 13",0.42083333333333345
2013-05-03,3.47,3.8,3.47,3.6,87232441,87232441,0.19,5.572,3.6363,"May 3, 13",0.5000000000000001
2013-05-06,3.72,3.75,3.53,3.61,51355130,51355130,0.01,0.278,3.663,"May 6, 13",0.5041666666666667
2013-05-07,3.65,3.669,3.44,3.54,35308690,35308690,-0.07,-1.939,3.5473,"May 7, 13",0.4750000000000001
2013-05-08,3.54,3.85,3.47,3.83,56990167,56990167,0.29,8.192,3.7372,"May 8, 13",0.5958333333333334
2013-05-09,3.91,3.99,3.83,3.86,47162748,47162748,0.03,0.783,3.8944,"May 9, 13",0.6083333333333334
2013-05-10,3.79,3.97,3.79,3.95,30568682,30568682,0.09,2.332,3.8856,"May 10, 13",0.6458333333333335
2013-05-13,3.95,4.22,3.94,4.17,54844269,54844269,0.22,5.57,4.1419,"May 13, 13",0.7375
2013-05-14,4.31,4.32,4.18,4.26,53216673,53216673,0.09,2.158,4.261,"May 14, 13",0.775
2013-05-15,4.29,4.42,4.26,4.38,39001790,39001790,0.12,2.817,4.3679,"May 15, 13",0.8250000000000001
2013-05-16,3.9,3.94,3.66,3.83,80170941,80170941,-0.55,-12.557,3.8023,"May 16, 13",0.5958333333333334
2013-05-17,3.93,4.095,3.9,4.07,33913307,33913307,0.24,6.266,4.0369,"May 17, 13",0.6958333333333335
2013-05-20,4.18,4.2,4.07,4.1,35426188,35426188,0.03,0.737,4.1406,"May 20, 13",0.7083333333333333
2013-05-21,4.15,4.2,3.95,4.02,36538269,36538269,-0.08,-1.951,4.0575,"May 21, 13",0.6749999999999999
2013-05-22,4.08,4.1,3.91,3.96,28730930,28730930,-0.06,-1.493,4.0137,"May 22, 13",0.65
2013-05-23,3.81,4.05,3.79,4.01,33132585,33132585,0.05,1.263,3.9377,"May 23, 13",0.6708333333333333
2013-05-24,4.03,4.06,3.97,4.05,20618023,20618023,0.04,0.998,4.0314,"May 24, 13",0.6875
2013-05-28,4.13,4.15,4.02,4.05,19583458,19583458,0,0,4.083,"May 28, 13",0.6875
2013-05-29,4.01,4.05,3.96,3.98,16274206,16274206,-0.07,-1.728,4.0021,"May 29, 13",0.6583333333333334
2013-05-30,4,4.06,3.99,4.04,15112740,15112740,0.06,1.508,4.0386,"May 30, 13",0.6833333333333335
2013-05-31,4.07,4.11,3.99,4,17656307,17656307,-0.04,-0.99,4.0573,"May 31, 13",0.6666666666666667
2013-06-03,4.02,4.03,3.81,3.96,23924829,23924829,-0.04,-1,3.9127,"Jun 3, 13",0.65
2013-06-04,3.95,4.04,3.94,4.01,19589204,19589204,0.05,1.263,4.0125,"Jun 4, 13",0.6708333333333333
2013-06-05,4.01,4.03,3.89,3.91,15404512,15404512,-0.1,-2.494,3.9491,"Jun 5, 13",0.6291666666666668
2013-06-06,3.87,3.94,3.81,3.94,20824777,20824777,0.03,0.767,3.8693,"Jun 6, 13",0.6416666666666667
2013-06-07,3.98,3.99,3.875,3.91,12020714,12020714,-0.03,-0.761,3.912,"Jun 7, 13",0.6291666666666668
2013-06-10,3.95,4.08,3.92,4.06,32331263,32331263,0.15,3.836,4.0037,"Jun 10, 13",0.6916666666666665
2013-06-11,4,4.11,3.96,3.96,20169748,20169748,-0.1,-2.463,4.0128,"Jun 11, 13",0.65
2013-06-12,4,4.03,3.9,3.9,14595453,14595453,-0.06,-1.515,3.9612,"Jun 12, 13",0.625
2013-06-13,3.9,3.96,3.87,3.95,14191747,14191747,0.05,1.282,3.9283,"Jun 13, 13",0.6458333333333335
2013-06-14,3.98,4.04,3.91,3.94,14365373,14365373,-0.01,-0.253,3.9556,"Jun 14, 13",0.6416666666666667
2013-06-17,4.12,4.14,4.015,4.05,31946265,31946265,0.11,2.792,4.0774,"Jun 17, 13",0.6875
2013-06-18,4.1,4.11,4.05,4.09,22809923,22809923,0.04,0.988,4.0862,"Jun 18, 13",0.7041666666666667
2013-06-19,4.15,4.18,4.04,4.07,24142854,24142854,-0.02,-0.489,4.1097,"Jun 19, 13",0.6958333333333335
2013-06-20,4.02,4.03,3.86,3.87,26595035,26595035,-0.2,-4.914,3.9279,"Jun 20, 13",0.6125000000000002
2013-06-21,3.97,4.04,3.9,4,32687651,32687651,0.13,3.359,3.9829,"Jun 21, 13",0.6666666666666667
2013-06-24,4.07,4.09,3.99,4.05,29059395,29059395,0.05,1.25,4.0301,"Jun 24, 13",0.6875
2013-06-25,4.11,4.15,4.06,4.15,26649162,26649162,0.1,2.469,4.1102,"Jun 25, 13",0.7291666666666669
2013-06-26,4.2,4.21,4.1207,4.14,19796509,19796509,-0.01,-0.241,4.165,"Jun 26, 13",0.725
2013-06-27,4.19,4.19,4.06,4.08,17396616,17396616,-0.06,-1.449,4.1086,"Jun 27, 13",0.7000000000000001
2013-06-28,4.08,4.12,4.02,4.08,13310896,13310896,0,0,4.0675,"Jun 28, 13",0.7000000000000001
2013-07-01,4.11,4.13,4.07,4.1,10681446,10681446,0.02,0.49,4.0924,"Jul 1, 13",0.7083333333333333
2013-07-02,4.09,4.12,3.95,3.97,17714401,17714401,-0.13,-3.171,4.0092,"Jul 2, 13",0.6541666666666668
2013-07-03,4,4.07,3.955,4.06,11320780,11320780,0.09,2.267,4.018,"Jul 3, 13",0.6916666666666665
2013-07-05,4.08,4.1,4.03,4.07,8965372,8965372,0.01,0.246,4.0692,"Jul 5, 13",0.6958333333333335
2013-07-08,4.08,4.085,3.98,4,16896414,16896414,-0.07,-1.72,4.0147,"Jul 8, 13",0.6666666666666667
2013-07-09,4.02,4.08,4.01,4.05,9550819,9550819,0.05,1.25,4.0485,"Jul 9, 13",0.6875
2013-07-10,4.06,4.06,3.96,3.98,19120119,19120119,-0.07,-1.728,3.9966,"Jul 10, 13",0.6583333333333334
2013-07-11,4.215,4.45,4.16,4.45,106831905,106831905,0.47,11.809,4.3376,"Jul 11, 13",0.8541666666666669
2013-07-12,4.48,4.5,4.26,4.32,50249609,50249609,-0.13,-2.921,4.3536,"Jul 12, 13",0.8000000000000002
2013-07-15,4.34,4.4,4.31,4.4,21883464,21883464,0.08,1.852,4.3763,"Jul 15, 13",0.8333333333333336
2013-07-16,4.41,4.49,4.25,4.43,39675729,39675729,0.03,0.682,4.372,"Jul 16, 13",0.8458333333333333
2013-07-17,4.44,4.45,4.33,4.38,16954851,16954851,-0.05,-1.129,4.3902,"Jul 17, 13",0.8250000000000001
2013-07-18,4.38,4.65,4.37,4.64,69827943,69827943,0.26,5.936,4.5232,"Jul 18, 13",0.9333333333333332
2013-07-19,3.99,4.08,3.85,4.03,151454259,151454259,-0.61,-13.147,3.9806,"Jul 19, 13",0.6791666666666668
2013-07-22,4.005,4.01,3.885,3.9,49768110,49768110,-0.13,-3.226,3.9269,"Jul 22, 13",0.625
2013-07-23,3.88,3.88,3.64,3.66,76760797,76760797,-0.24,-6.154,3.7406,"Jul 23, 13",0.5250000000000001
2013-07-24,3.69,3.75,3.58,3.63,50772413,50772413,-0.03,-0.82,3.6637,"Jul 24, 13",0.5125000000000001
2013-07-25,3.64,3.74,3.6,3.7,29228562,29228562,0.07,1.928,3.7009,"Jul 25, 13",0.5416666666666669
2013-07-26,3.7,3.83,3.66,3.82,42515239,42515239,0.12,3.243,3.7689,"Jul 26, 13",0.5916666666666667
2013-07-29,3.87,3.89,3.75,3.75,32255059,32255059,-0.07,-1.832,3.8064,"Jul 29, 13",0.5625000000000001
2013-07-30,3.79,3.85,3.75,3.82,19593800,19593800,0.07,1.867,3.8096,"Jul 30, 13",0.5916666666666667
2013-07-31,3.85,3.9,3.77,3.77,34296137,34296137,-0.05,-1.309,3.8394,"Jul 31, 13",0.5708333333333334
2013-08-01,3.81,3.87,3.78,3.81,22216017,22216017,0.04,1.061,3.8261,"Aug 1, 13",0.5875000000000001
