date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-04-15,393.368,398.8985,388.8985,391.356,4900346,2452623,-4.0641,-1.028,393.5326,"Apr 15, 13",0
2013-04-16,393.6883,398.398,392.352,397.0817,3480468,1741974,5.7257,1.463,395.7637,"Apr 16, 13",0.014630413229898142
2013-04-17,393.7684,395.8179,389.4391,391.6713,4069487,2036778,-5.4104,-1.363,392.2806,"Apr 17, 13",0.0008056603195044391
2013-04-18,393.0677,393.2929,381.0107,383.34,6601455,3304028,-8.3313,-2.127,386.2975,"Apr 18, 13",-0.02048262962622272
2013-04-19,384.9646,402.1217,383.5131,400.3349,11593628,5802611,16.995,4.433,394.4485,"Apr 19, 13",0.02294304929527083
2013-04-22,400.7003,402.381,387.8875,400.4571,5760454,2883107,0.122122,0.031,398.0863,"Apr 22, 13",0.02325529696746704
2013-04-23,400.9005,408.1578,400.5802,404.3539,4579994,2292287,3.8969,0.973,405.3391,"Apr 23, 13",0.03321247150931637
2013-04-24,404.4591,409.409,404.404,407.1337,3654448,1829051,2.7798,0.687,408.2525,"Apr 24, 13",0.04031546724721221
2013-04-25,408.5331,408.6432,404.2188,404.9545,3980422,1992201,-2.1792,-0.535,405.9794,"Apr 25, 13",0.034747135600322984
2013-04-26,404.2038,404.2739,398.6883,401.1107,4970304,2487637,-3.8438,-0.949,401.3238,"Apr 26, 13",0.0249253876266111
2013-04-29,402.0266,411.7613,401.9015,409.9395,4595912,2300254,8.8288,2.201,408.9159,"Apr 29, 13",0.04748489866004358
2013-04-30,409.9095,414.2338,409.2488,412.6973,4608663,2306636,2.7578,0.673,411.6623,"Apr 30, 13",0.054531679596071074
2013-05-01,412.0416,412.7724,408.5882,410.6252,2906961,1454934,-2.0721,-0.502,410.8642,"May 1, 13",0.04923701182555017
2013-05-02,410.4601,417.6923,409.9345,415.2198,4032460,2018246,4.5946,1.119,415.5508,"May 2, 13",0.06097721767393378
2013-05-03,418.8985,423.8234,418.418,423.2829,5019702,2512361,8.0631,1.942,422.0168,"May 3, 13",0.08158019808052001
2013-05-06,424.5541,431.3559,424.5541,431.2058,4278140,2141209,7.9229,1.872,428.5511,"May 6, 13",0.10182493688610886
2013-05-07,431.9365,432.3669,425.7603,429.0436,3914058,1958986,-2.1622,-0.501,429.1224,"May 7, 13",0.09630004394975428
2013-05-08,428.9285,437.3769,426.8815,437.2518,4930476,2467703,8.2082,1.913,434.6066,"May 8, 13",0.11727378652684514
2013-05-09,435.8554,440.2698,434.5491,436.1757,4396519,2200458,-1.0761,-0.246,437.3977,"May 9, 13",0.11452411615000156
2013-05-10,438.0927,440.7103,436.5161,440.5551,3791566,1897679,4.3794,1.004,439.0248,"May 10, 13",0.1257144390273817
2013-05-13,439.8844,441.6762,437.1272,439.2038,2893167,1448030,-1.3514,-0.307,440.2074,"May 13, 13",0.1222615725835301
2013-05-14,439.1888,444.7893,439.0086,443.9936,3154697,1578926,4.7898,1.091,443.1453,"May 14, 13",0.1345005570375822
2013-05-15,448.1978,458.6482,447.457,458.4029,7962426,3985194,14.4094,3.245,453.933,"May 15, 13",0.17131946360858144
2013-05-16,459.9595,460.4499,451.456,452.3869,6410573,3208492,-6.016,-1.312,455.0857,"May 16, 13",0.15594727051584756
2013-05-17,455.465,457.2012,450.7103,455.0446,5578028,2791803,2.6577,0.587,454.0152,"May 17, 13",0.16273827410337394
2013-05-20,452.9525,460.7603,452.9525,454.7193,4540849,2272695,-0.325325,-0.071,456.7254,"May 20, 13",0.16190706160120194
2013-05-21,454.464,456.2858,449.2538,453.9385,3961409,1982685,-0.78078,-0.172,452.5429,"May 21, 13",0.15991194717852794
2013-05-22,451.7313,455.1097,443.8834,445.1547,5116072,2560594,-8.7838,-1.935,449.4483,"May 22, 13",0.137467420967099
2013-05-23,438.9385,445.425,437.437,441.8364,4545347,2274946,-3.3183,-0.745,441.9909,"May 23, 13",0.12898844019256134
2013-05-24,438.0676,439.8494,435.9405,437.0967,4588931,2296760,-4.7397,-1.073,437.2912,"May 24, 13",0.11687747217367309
2013-05-28,442.1918,446.5161,440.6402,441.0756,4510310,2257410,3.979,0.91,443.5298,"May 28, 13",0.12704443013522218
2013-05-29,438.2929,439.434,432.5771,434.5892,4022272,2013147,-6.4865,-1.471,435.7263,"May 29, 13",0.11047026236981165
2013-05-30,435.395,439.8895,433.6382,435.8154,4237137,2120687,1.2262,0.282,436.849,"May 30, 13",0.11360347100849359
2013-05-31,434.4941,438.9385,434.1938,436.0446,3934779,1969357,0.229229,0.053,436.8146,"May 31, 13",0.11418912703523137
2013-06-03,436.9365,437.4219,427.9375,434.2488,4946046,2475496,-1.7958,-0.412,431.6275,"Jun 3, 13",0.10960046607181191
2013-06-04,434.3589,435.7303,427.462,429.9796,3733157,1868445,-4.2693,-0.983,431.4542,"Jun 4, 13",0.09869172824742692
2013-06-05,431.6863,435.1597,428.9936,430.2799,4208973,2106591,0.3003,0.07,431.4443,"Jun 5, 13",0.09945906029293024
2013-06-06,432.5822,433.5982,424.0336,432.7523,5152857,2579005,2.4725,0.575,429.4813,"Jun 6, 13",0.10577658193562893
2013-06-07,435.6452,440.44,433.0927,440.3049,5342795,2674069,7.5525,1.745,437.1173,"Jun 7, 13",0.12507512341704224
2013-06-10,441.491,445.9455,440.4851,445.5551,4670835,2337753,5.2502,1.192,455.3445,"Jun 10, 13",0.13849053036110343
2013-06-11,442.427,443.9435,440.1998,440.3449,3511453,1757482,-5.2102,-1.169,441.7992,"Jun 11, 13",0.12517733214771207
2013-06-12,443.1727,443.443,435.2598,436.426,4405093,2204749,-3.9189,-0.89,438.1991,"Jun 12, 13",0.11516368728216762
2013-06-13,434.9245,440.2698,433.1827,438.9385,4135093,2069614,2.5125,0.576,436.6187,"Jun 13, 13",0.12158367317736277
2013-06-14,440.49,442.7923,437.5021,437.9575,4485457,2244971,-0.98098,-0.223,439.7363,"Jun 14, 13",0.11907700405768658
2013-06-17,440.0546,445.1597,439.5791,443.5681,4287768,2146028,5.6106,1.281,442.8815,"Jun 17, 13",0.1334133116650825
2013-06-18,444.7693,450.9505,444.6192,450.7603,4329191,2166760,7.1922,1.621,448.8056,"Jun 18, 13",0.15179095248316105
