date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-04-15,25.1756,25.4656,25.0526,25.2107,56332862,56332862,-0.087873,-0.347,25.2735,"Apr 15, 13",0
2013-04-16,25.3953,25.6062,25.2151,25.4568,52795256,52795256,0.246044,0.976,25.4275,"Apr 16, 13",0.009761728155108822
2013-04-17,25.3513,25.5183,25.1316,25.3294,52840621,52840621,-0.127415,-0.501,25.3315,"Apr 17, 13",0.004708318293423049
2013-04-18,25.4392,25.4656,25.0438,25.2986,56772087,56772087,-0.030756,-0.121,25.2786,"Apr 18, 13",0.0034866148103781807
2013-04-19,26.028,26.5728,26.0192,26.1554,99790116,99790116,0.856758,3.387,26.2174,"Apr 19, 13",0.037472184429627145
2013-04-22,26.6255,27.3988,26.5991,27.0912,137901279,137901279,0.935849,3.578,27.1458,"Apr 22, 13",0.0745913441514913
2013-04-23,26.977,27.1527,26.6958,26.8891,59027213,59027213,-0.202108,-0.746,27.0048,"Apr 23, 13",0.06657490668644662
2013-04-24,26.9067,28.049,26.8891,27.9084,90897055,90897055,1.0193,3.791,27.5491,"Apr 24, 13",0.10700615214968252
2013-04-25,27.8645,28.8575,27.7151,28.0666,110685794,110685794,0.158171,0.567,28.3573,"Apr 25, 13",0.11328126549441317
2013-04-26,28.0315,28.1017,27.636,27.9348,47799284,47799284,-0.131807,-0.47,27.882,"Apr 26, 13",0.10805332656372096
2013-04-29,27.9436,28.7169,27.9172,28.6554,59116288,59116288,0.720558,2.579,28.5201,"Apr 29, 13",0.13663642818327143
2013-04-30,28.6114,29.0947,28.3654,29.0859,75116271,75116271,0.430578,1.503,28.8628,"Apr 30, 13",0.15371251095764893
2013-05-01,28.9365,29.0684,28.6466,28.752,54328805,54328805,-0.333918,-1.148,28.8053,"May 1, 13",0.1404681345619122
2013-05-02,28.6729,29.1474,28.462,29.1387,46055944,46055944,0.386641,1.345,28.9009,"May 2, 13",0.15580685978572595
2013-05-03,29.2002,29.455,29.0684,29.4286,46784484,46784484,0.289979,0.995,29.353,"May 3, 13",0.16730594549139852
2013-05-06,29.3671,29.7977,29.2177,29.6571,40978078,40978078,0.228473,0.776,29.5546,"May 6, 13",0.1763695573704816
2013-05-07,29.5692,29.6922,29.2089,29.2705,42916453,42916453,-0.386642,-1.304,29.3794,"May 7, 13",0.16103479871641802
2013-05-08,29.0567,29.2089,28.6905,28.9893,51643216,51643216,-0.281196,-0.961,28.9723,"May 8, 13",0.14988080457900815
2013-05-09,28.8662,28.9981,28.6378,28.6993,46399199,46399199,-0.28998,-1,28.7949,"May 9, 13",0.13837775230358546
2013-05-10,28.7081,28.752,28.4005,28.7256,36394841,36394841,0.026363,0.092,28.6488,"May 10, 13",0.13942096014787375
2013-05-13,28.6554,29.0596,28.6026,29.0244,36027027,36027027,0.298766,1.04,28.8703,"May 13, 13",0.15127307056130931
2013-05-14,29.0776,29.6704,29.0244,29.6704,56867771,56867771,0.645962,2.226,29.446,"May 14, 13",0.17689711114725104
2013-05-15,29.5996,29.9978,29.5819,29.9491,46303779,46303779,0.278738,0.939,29.8316,"May 15, 13",0.18795194104090732
2013-05-16,29.7677,30.219,29.6881,30.1571,59381496,59381496,0.20795,0.694,30.1274,"May 16, 13",0.19620240612121045
2013-05-17,30.2014,30.8561,30.1748,30.8561,60666467,60666467,0.699063,2.318,30.4997,"May 17, 13",0.2239287286747295
2013-05-20,30.7322,31.0552,30.688,31.042,54020102,54020102,0.185828,0.602,30.9059,"May 20, 13",0.23130258184025046
2013-05-21,31.0597,31.2123,30.7234,30.8384,48693429,48693429,-0.203526,-0.656,30.9541,"May 21, 13",0.22322664582895363
2013-05-22,30.7853,30.8296,30.4048,30.6261,66043135,66043135,-0.212371,-0.689,30.6159,"May 22, 13",0.21480561824939418
2013-05-23,30.2898,30.573,29.9978,30.219,51102326,51102326,-0.407052,-1.329,30.2903,"May 23, 13",0.19865771279655076
2013-05-24,30.0155,30.334,29.9978,30.3243,33174304,33174304,0.105303,0.348,30.203,"May 24, 13",0.20283451074345424
2013-05-28,30.4579,31.1304,30.4491,30.9889,48211220,48211220,0.664552,2.191,30.8583,"May 28, 13",0.22919633330292305
2013-05-29,30.7411,30.9889,30.5907,30.865,38411673,38411673,-0.123884,-0.4,30.8263,"May 29, 13",0.22428175338249234
2013-05-30,30.8384,31.1924,30.8057,30.9977,51130805,51130805,0.132733,0.43,31.0262,"May 30, 13",0.22954539144093578
2013-05-31,30.8119,31.2189,30.7853,30.8827,56162496,56162496,-0.115034,-0.371,30.9916,"May 31, 13",0.22498383622826817
2013-06-03,30.9004,31.5286,30.8207,31.4932,51249396,51249396,0.610573,1.977,31.1691,"Jun 3, 13",0.2491997445529082
2013-06-04,31.5198,31.626,30.7685,30.9623,65529399,65529399,-0.530935,-1.686,31.2661,"Jun 4, 13",0.2281412257493842
2013-06-05,30.6172,30.8738,30.4668,30.7765,46023857,46023857,-0.185826,-0.6,30.7221,"Jun 5, 13",0.22077133915361333
2013-06-06,30.8296,31.0685,30.5199,30.9358,37617747,37617747,0.159281,0.518,30.8013,"Jun 6, 13",0.2270900847655956
2013-06-07,31.1924,31.6614,31.0243,31.564,40757245,40757245,0.628272,2.031,31.4187,"Jun 7, 13",0.2520080759360113
2013-06-10,31.4225,31.5463,31.095,31.3871,35991809,35991809,-0.176981,-0.561,31.9686,"Jun 10, 13",0.24499121404800348
2013-06-11,31.0154,31.1304,30.688,30.8296,39435445,39435445,-0.557478,-1.776,30.9177,"Jun 11, 13",0.22287758769094076
2013-06-12,31.095,31.2101,30.8384,30.9712,37371982,37371982,0.14158,0.459,31.0191,"Jun 12, 13",0.2284942504571472
2013-06-13,30.9623,30.9889,30.6084,30.719,45635878,45635878,-0.252195,-0.814,30.7245,"Jun 13, 13",0.2184905615472796
2013-06-14,30.573,30.6969,30.3075,30.4402,53191609,53191609,-0.278738,-0.907,30.4484,"Jun 14, 13",0.20743176508387318
2013-06-17,30.6968,31.1127,30.6438,30.9712,49670032,49670032,0.530933,1.744,30.9214,"Jun 17, 13",0.2284942504571472
2013-06-18,30.9446,31.1216,30.8782,30.9535,28614869,28614869,-0.017694,-0.057,31,"Jun 18, 13",0.22779216761137133
2013-06-19,30.9358,31.0508,30.6084,30.6084,30816008,30816008,-0.345109,-1.115,30.8369,"Jun 19, 13",0.21410353540361832
2013-06-20,30.3163,30.3783,29.5288,29.635,54493643,54493643,-0.97338,-3.18,29.9004,"Jun 20, 13",0.17549294545569946
2013-06-21,29.7854,29.8474,29.2456,29.4359,85337340,85337340,-0.199099,-0.672,29.5491,"Jun 21, 13",0.16759550508315918
2013-06-24,29.1483,30.2633,28.8209,29.8341,56108988,56108988,0.398201,1.353,29.683,"Jun 24, 13",0.1833903858282396
2013-06-25,30.1571,30.4225,29.6084,29.7943,44051085,44051085,-0.039821,-0.133,29.8532,"Jun 25, 13",0.1818116910676816
2013-06-26,30.1925,30.511,29.9867,30.396,48665592,48665592,0.601725,2.02,30.3315,"Jun 26, 13",0.20567854125430876
2013-06-27,30.5464,30.7765,30.5287,30.6349,28993042,28993042,0.238922,0.786,30.6359,"Jun 27, 13",0.2151546763874069
2013-06-28,30.4225,30.7853,30.3871,30.5685,65545445,65545445,-0.066369,-0.217,30.5813,"Jun 28, 13",0.2125208740733102
2013-07-01,30.7499,30.9623,30.3783,30.4048,31054868,31054868,-0.163703,-0.536,30.6047,"Jul 1, 13",0.20602759939232163
2013-07-02,30.4491,30.4747,29.7589,30.0332,37629522,37629522,-0.371655,-1.222,30.1254,"Jul 2, 13",0.1912878262007799
2013-07-03,29.7854,30.4137,29.7323,30.0951,15994380,15994380,0.061942,0.206,30.099,"Jul 3, 13",0.19374313287612005
2013-07-05,30.1659,30.2987,29.7155,30.2721,26085831,26085831,0.176981,0.588,30.0679,"Jul 5, 13",0.20076396133387805
2013-07-08,30.396,30.6084,30.0686,30.3739,32396842,32396842,0.101758,0.336,30.3161,"Jul 8, 13",0.20480192933952646
2013-07-09,30.5995,30.6172,30.2102,30.396,25318501,25318501,0.022124,0.073,30.4117,"Jul 9, 13",0.20567854125430876
2013-07-10,30.3871,30.803,30.3694,30.7057,29863085,29863085,0.309711,1.019,30.6568,"Jul 10, 13",0.2179630077705102
2013-07-11,30.9712,31.6525,30.8827,31.5773,53618047,53618047,0.871617,2.839,31.3576,"Jul 11, 13",0.25253562971278076
2013-07-12,31.4844,31.6171,31.2189,31.564,35501154,35501154,-0.013272,-0.042,31.4348,"Jul 12, 13",0.2520080759360113
2013-07-15,31.5552,32.0507,31.4844,32.0065,34142125,34142125,0.442445,1.402,31.8722,"Jul 15, 13",0.2695601470804065
2013-07-16,31.8649,32.2365,31.8207,32.095,36378481,36378481,0.088488,0.276,32.0589,"Jul 16, 13",0.27307056130928536
2013-07-17,32.1569,32.2012,31.4048,31.626,37281516,37281516,-0.468995,-1.461,31.7462,"Jul 17, 13",0.25446734918110175
2013-07-18,31.6083,31.7587,31.1658,31.3605,49118611,49118611,-0.265465,-0.839,31.2318,"Jul 18, 13",0.24393610649446462
2013-07-19,28.6704,28.9094,27.4493,27.7856,248354245,248354245,-3.575,-11.4,27.2595,"Jul 19, 13",0.10213520449650346
2013-07-22,28.051,28.3253,27.9625,28.3253,79024753,79024753,0.539783,1.943,28.1703,"Jul 22, 13",0.12354278143804018
2013-07-23,28.2369,28.3519,28.0599,28.1572,65810331,65810331,-0.168128,-0.594,28.2044,"Jul 23, 13",0.11687497768804517
2013-07-24,28.3475,28.4846,28.2192,28.2811,52802180,52802180,0.123883,0.44,28.314,"Jul 24, 13",0.12178955760847575
2013-07-25,27.9802,28.0068,27.6528,27.7767,63212927,63212927,-0.504388,-1.783,27.7884,"Jul 25, 13",0.1017821797887406
2013-07-26,27.6617,27.9802,27.613,27.9802,38633539,38633539,0.203525,0.733,27.8073,"Jul 26, 13",0.10985414923028718
2013-07-29,27.8475,27.9625,27.7856,27.9094,28873969,28873969,-0.070791,-0.253,27.8866,"Jul 29, 13",0.10704581784718403
2013-07-30,28.1218,28.4227,27.9183,28.1838,45799476,45799476,0.274316,0.983,28.1565,"Jul 30, 13",0.11793008524158402
2013-07-31,28.2899,28.3607,28.0599,28.1749,43898435,43898435,-0.008849,-0.031,28.2342,"Jul 31, 13",0.11757706053382103
2013-08-01,28.3696,28.3961,27.9625,28.0245,42552467,42552467,-0.150433,-0.534,28.1004,"Aug 1, 13",0.11161133962960174
2013-08-02,28.0422,28.228,27.9316,28.2192,29121484,29121484,0.194678,0.695,28.0969,"Aug 2, 13",0.1193342509331356
2013-08-05,28.228,28.3165,27.9979,28.051,30984542,30984542,-0.168131,-0.596,28.1066,"Aug 5, 13",0.11266248061339032
2013-08-06,27.9183,28.0245,27.7679,27.9448,36331541,36331541,-0.106185,-0.379,27.8772,"Aug 6, 13",0.1084499835387356
2013-08-07,27.9094,28.405,27.6528,28.3722,38060978,38060978,0.427401,1.529,28.0398,"Aug 7, 13",0.12540310265085858
2013-08-08,28.5289,29.2633,28.3607,29.104,59035735,59035735,0.731806,2.579,28.9435,"Aug 8, 13",0.15443046008242534
2013-08-09,28.9979,29.1129,28.7324,28.9359,26801087,26801087,-0.168131,-0.578,28.9442,"Aug 9, 13",0.14776265633243033
2013-08-12,28.7235,29.1748,28.7235,29.0863,25494043,25494043,0.150432,0.52,29.0229,"Aug 12, 13",0.15372837723664962
2013-08-13,28.9705,29.0061,28.7032,28.721,39464299,39464299,-0.365369,-1.256,28.8207,"Aug 13, 13",0.13923849793936705
2013-08-14,28.6408,29.728,28.2487,28.8279,48520460,48520460,0.106934,0.372,28.5933,"Aug 14, 13",0.14347876100227286
2013-08-15,28.516,28.6764,27.4823,28.3289,33337991,33337991,-0.49903,-1.731,28.3416,"Aug 15, 13",0.12368557794904551
2013-08-16,28.3289,28.5071,28.213,28.3378,32864665,32864665,0.00891,0.031,28.3477,"Aug 16, 13",0.12403860265680851
2013-08-19,28.3021,28.4893,27.9635,27.9751,27902716,27902716,-0.362687,-1.28,28.2087,"Aug 19, 13",0.10965185417302979
2013-08-20,28.017,28.4269,27.9546,28.1774,22979513,22979513,0.202285,0.723,28.2501,"Aug 20, 13",0.11767622477757458
2013-08-21,28.1685,28.5249,28.1061,28.1685,37398935,37398935,-0.008909,-0.032,28.3359,"Aug 21, 13",0.11732320006981173
2013-08-22,28.6809,28.9527,28.6051,28.8636,31123321,31123321,0.695078,2.468,28.7995,"Aug 22, 13",0.144894826403075
2013-08-23,31.3409,31.3676,30.2983,30.9666,225442537,225442537,2.1031,7.286,30.8651,"Aug 23, 13",0.22831178824864048
2013-08-26,30.6547,30.8953,30.325,30.4319,72553311,72553311,-0.534676,-1.727,30.5516,"Aug 26, 13",0.20710253979461102
2013-08-27,29.8661,30.3874,29.5408,29.6388,58519145,58519145,-0.793101,-2.606,29.911,"Aug 27, 13",0.17564367510620493
2013-08-28,29.7547,29.9418,29.4071,29.425,44258420,44258420,-0.213872,-0.722,29.6321,"Aug 28, 13",0.1671631489803933
2013-08-29,29.3448,29.9418,29.2289,29.8973,45271567,45271567,0.472298,1.605,29.7175,"Aug 29, 13",0.18589725791033182
2013-08-30,29.7369,29.8349,29.4873,29.7636,42774005,42774005,-0.13367,-0.447,29.7012,"Aug 30, 13",0.18059395415438687
2013-09-03,28.2932,28.5784,27.8833,28.4091,154489546,154489546,-1.3545,-4.551,28.2184,"Sep 3, 13",0.12686676688866233
2013-09-04,27.9724,28.0437,27.7229,27.7987,142273577,142273577,-0.610422,-2.149,27.8624,"Sep 4, 13",0.10265482513377261
2013-09-05,27.714,28.017,27.5803,27.8343,71623991,71623991,0.035645,0.128,27.8829,"Sep 5, 13",0.10406692396482445
2013-09-06,27.9011,27.9724,27.7407,27.7603,75436430,75436430,-0.073963,-0.266,27.8451,"Sep 6, 13",0.10113166234971666
2013-09-09,27.8217,28.3289,27.8031,28.2086,49610584,49610584,0.448235,1.615,28.0938,"Sep 9, 13",0.11891379453962014
2013-09-10,28.4269,28.8725,28.3289,28.8636,56881864,56881864,0.65498,2.322,28.7323,"Sep 10, 13",0.144894826403075
2013-09-11,29.024,29.3448,28.9883,29.1755,39069730,39069730,0.311893,1.081,29.1972,"Sep 11, 13",0.15726655745377957
2013-09-12,29.1576,29.2111,29.0418,29.1309,32861951,32861951,-0.044558,-0.153,29.1169,"Sep 12, 13",0.15549746734521458
2013-09-13,29.2022,29.4695,28.966,29.4339,40899039,40899039,0.302983,1.04,29.2364,"Sep 13, 13",0.1675161736881563
2013-09-16,29.7458,29.8527,29.1665,29.2298,55010116,55010116,-0.204066,-0.693,29.4609,"Sep 16, 13",0.15942040482810876
2013-09-17,29.7814,29.826,29.318,29.3448,84683924,84683924,0.114956,0.393,29.5299,"Sep 17, 13",0.16398196004077634
2013-09-18,29.3982,29.7636,29.2557,29.6923,64100189,64100189,0.347537,1.184,29.5056,"Sep 18, 13",0.17776578992253292
2013-09-19,29.8349,30.0131,29.6923,29.9775,42015792,42015792,0.28516,0.96,29.8771,"Sep 19, 13",0.18907844684994862
2013-09-20,29.7725,29.8349,29.1264,29.2209,102862119,102862119,-0.756563,-2.524,29.3701,"Sep 20, 13",0.15906738012034577
2013-09-23,28.9973,29.3795,28.9616,29.1755,39826261,39826261,-0.045449,-0.156,29.1997,"Sep 23, 13",0.15726655745377957
2013-09-24,29.2913,29.2913,28.6497,28.9215,40245140,40245140,-0.253972,-0.87,28.9074,"Sep 24, 13",0.1471914702884094
2013-09-25,28.9527,29.2289,28.8725,28.966,28830930,28830930,0.044558,0.154,29.0213,"Sep 25, 13",0.14895659382722423
2013-09-26,29.0863,29.4071,29.0418,29.2022,28483079,28483079,0.23615,0.815,29.4344,"Sep 26, 13",0.15832563157706855
2013-09-27,29.3002,30.0755,29.2913,29.6478,55330514,55330514,0.445562,1.526,29.7761,"Sep 27, 13",0.17600066638371806
2013-09-30,29.4071,29.6834,29.1398,29.6567,39838108,39838108,0.008908,0.03,29.5922,"Sep 30, 13",0.17635369109148105
2013-10-01,29.719,29.9507,29.6745,29.924,36691926,36691926,0.267337,0.901,29.825,"Oct 1, 13",0.18695633203362066
2013-10-02,29.728,30.325,29.6656,30.227,46931866,46931866,0.302983,1.013,30.1041,"Oct 2, 13",0.19897503837656239
2013-10-03,30.1913,30.2983,29.7814,30.1735,38704461,38704461,-0.053467,-0.177,30.0831,"Oct 3, 13",0.1968529235602344
2013-10-04,30.022,30.2894,29.9596,30.1913,32988495,32988495,0.017823,0.059,30.1915,"Oct 4, 13",0.19755897297576025
2013-10-07,29.9418,30.0398,29.5854,29.6745,35067124,35067124,-0.516852,-1.712,29.9418,"Oct 7, 13",0.1770597405070069
2013-10-08,29.6834,29.7012,29.2289,29.4161,41095160,41095160,-0.258425,-0.871,29.4188,"Oct 8, 13",0.1668101242726303
2013-10-09,29.4695,29.719,29.3715,29.4695,35843167,35843167,0.053468,0.182,29.5406,"Oct 9, 13",0.16892827251920814
2013-10-10,29.6834,30.2002,29.6388,30.0844,42875141,42875141,0.614877,2.086,29.942,"Oct 10, 13",0.19331870991285444
2013-10-11,30.0131,30.423,30.0131,30.4141,30033336,30033336,0.329712,1.096,30.4214,"Oct 11, 13",0.20639649037908517
2013-10-14,30.2092,30.7438,30.1022,30.6993,27757870,27757870,0.285163,0.938,30.8458,"Oct 14, 13",0.21770914730650087
2013-10-15,30.8953,31.1805,30.7171,30.7349,47107657,47107657,0.035645,0.116,30.9848,"Oct 15, 13",0.21912124613755274
2013-10-16,30.8329,31.0958,30.7973,30.8686,35111593,35111593,0.133669,0.435,30.9361,"Oct 16, 13",0.22442454989349767
2013-10-17,30.6993,31.1805,30.628,31.1181,31359198,31359198,0.249517,0.808,31.0651,"Oct 17, 13",0.23432114142011126
2013-10-18,31.029,31.1805,30.5923,31.1538,41811699,41811699,0.035642,0.115,30.9788,"Oct 18, 13",0.2357372068209134
2013-10-21,31.1716,31.3676,31.1092,31.1805,27436505,27436505,0.026736,0.086,31.2295,"Oct 21, 13",0.23679628094420224
2013-10-22,31.2072,31.2785,30.7617,30.8151,40438546,40438546,-0.365364,-1.172,30.961,"Oct 22, 13",0.22230243507716968
2013-10-23,30.6102,30.7349,30.0078,30.0844,58600499,58600499,-0.73072,-2.371,30.2958,"Oct 23, 13",0.19331870991285444
2013-10-24,30.1379,30.3874,29.9151,30.0488,53209728,53209728,-0.035648,-0.118,30.6217,"Oct 24, 13",0.1919066110818026
2013-10-25,31.9736,32.3389,31.6082,31.8399,113493954,113493954,1.7912,5.961,31.9728,"Oct 25, 13",0.26295184187666354
2013-10-28,31.733,31.8399,31.43,31.6973,38383594,38383594,-0.142578,-0.448,31.6117,"Oct 28, 13",0.2572955134129556
2013-10-29,31.7509,31.831,31.4211,31.6528,31702613,31702613,-0.044558,-0.141,31.6206,"Oct 29, 13",0.25553038987414073
2013-10-30,31.6617,31.8934,31.5726,31.6706,37002061,37002061,0.017821,0.056,31.7389,"Oct 30, 13",0.2562364392896667
2013-10-31,31.7775,31.8043,31.4924,31.5503,41689563,41689563,-0.120299,-0.38,33.2013,"Oct 31, 13",0.25146465588024136
2013-11-01,31.7864,31.8043,31.5369,31.6572,40271887,40271887,0.106936,0.339,31.66,"Nov 1, 13",0.2557049189431472
