date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-04-15,28.4858,28.7073,28.1136,28.1136,6662770,3331385,-0.428748,-1.502,28.3522,"Apr 15, 13",0
2013-04-16,28.2832,28.5188,28.1136,28.5047,5960568,2980284,0.391055,1.391,28.3415,"Apr 16, 13",0.01391141653861469
2013-04-17,28.3492,28.8863,28.2738,28.6931,10437376,5218688,0.188463,0.661,28.6242,"Apr 17, 13",0.020612799499174755
2013-04-18,28.7261,28.8345,28.1277,28.3539,6000576,3000288,-0.339231,-1.182,28.3542,"Apr 18, 13",0.008547464572306561
2013-04-19,28.5424,28.7583,28.3946,28.7025,6765034,3382517,0.348653,1.23,28.6097,"Apr 19, 13",0.02094715724773771
2013-04-22,28.7826,28.9711,28.5659,28.9098,5927856,2963928,0.207306,0.722,28.7743,"Apr 22, 13",0.028320812702748808
2013-04-23,29.0324,29.1784,28.8533,29.0606,6116050,3058025,0.150767,0.522,29.0465,"Apr 23, 13",0.03368476466905694
2013-04-24,29.1407,29.2114,28.9287,28.9899,4167966,2083983,-0.070672,-0.243,29.033,"Apr 24, 13",0.031169967560184284
2013-04-25,29.0324,29.4423,29.0088,29.2444,4369776,2184888,0.254422,0.878,29.2398,"Apr 25, 13",0.04022252575266053
2013-04-26,29.2868,29.4328,29.0135,29.1596,4826564,2413282,-0.084807,-0.29,29.1584,"Apr 26, 13",0.03720619202094357
2013-04-29,29.2114,29.593,29.0324,29.5082,5845614,2922807,0.348653,1.196,29.4054,"Apr 29, 13",0.0496058846963746
2013-04-30,29.5553,30.043,29.5223,29.9652,10097652,5048826,0.457016,1.549,29.9076,"Apr 30, 13",0.06586136247225534
2013-05-01,29.9464,30.2903,29.7768,29.8522,7923994,3961997,-0.113076,-0.377,30.0055,"May 1, 13",0.0618419554948494
2013-05-02,29.9181,29.9511,29.659,29.8333,5605208,2802604,-0.018845,-0.063,29.7804,"May 2, 13",0.061169683000398364
2013-05-03,30.0029,30.606,30.0029,30.4128,6946530,3473265,0.579514,1.943,30.4082,"May 3, 13",0.08178248249957312
2013-05-06,30.3422,30.4128,30.05,30.1348,4751828,2375914,-0.277978,-0.914,30.182,"May 6, 13",0.07189402993568937
2013-05-07,30.2432,30.328,30.0642,30.1113,6298248,3149124,-0.023557,-0.078,30.1474,"May 7, 13",0.07105813556428199
2013-05-08,30.0123,30.2079,29.9982,30.1066,6246172,3123086,-0.004712,-0.016,30.1153,"May 8, 13",0.07089095669000052
2013-05-09,30.1066,30.4034,29.9888,30.0312,4433678,2216839,-0.075383,-0.25,30.1554,"May 9, 13",0.06820898070684639
2013-05-10,30.0877,30.5283,29.9982,30.5118,6647234,3323617,0.480574,1.6,30.3778,"May 10, 13",0.08530390985145976
2013-05-13,30.394,30.5306,30.3045,30.4599,3780472,1890236,-0.051826,-0.17,30.4413,"May 13, 13",0.08345782823971314
2013-05-14,30.4034,31.0866,30.4034,31.0536,8277472,4138736,0.59365,1.949,30.8665,"May 14, 13",0.10457572135905745
2013-05-15,30.9923,31.096,30.8369,31.0159,5289024,2644512,-0.037694,-0.121,30.9791,"May 15, 13",0.10323473336748039
2013-05-16,30.9829,31.129,30.2291,30.361,7688620,3844310,-0.654902,-2.112,30.6485,"May 16, 13",0.07993995788515162
2013-05-17,30.3751,30.8321,30.3422,30.7756,6219820,3109910,0.414615,1.366,30.6837,"May 17, 13",0.09468726879517382
2013-05-20,30.7521,30.8604,30.6484,30.7803,5463148,2731574,0.004714,0.015,30.7889,"May 20, 13",0.0948544476694553
2013-05-21,30.785,30.8369,30.6154,30.7332,6468548,3234274,-0.047118,-0.153,30.7339,"May 21, 13",0.09317910192931529
2013-05-22,30.7379,30.8934,30.1961,30.3657,8269186,4134593,-0.367497,-1.196,30.6361,"May 22, 13",0.08010713675943311
2013-05-23,30.1443,30.2243,29.7249,29.838,8627672,4313836,-0.52769,-1.738,29.8927,"May 23, 13",0.06133686187467984
2013-05-24,29.5271,29.6213,29.0041,29.5836,7517752,3758876,-0.254422,-0.853,29.3835,"May 24, 13",0.05228786067952872
2013-05-28,29.9511,30.205,29.699,29.8145,7784102,3892051,0.230865,0.78,29.9151,"May 28, 13",0.060500967503272336
2013-05-29,29.6401,29.7626,29.3998,29.6496,5521182,2760591,-0.164903,-0.553,29.6135,"May 29, 13",0.054635478914119774
2013-05-30,29.7583,29.9237,29.4936,29.503,5955104,2977552,-0.146548,-0.494,29.6543,"May 30, 13",0.04942092083546747
2013-05-31,29.4037,29.8481,29.1485,29.1485,7469714,3734857,-0.354546,-1.202,29.4286,"May 31, 13",0.036811365317853166
2013-06-03,29.1201,29.8197,28.8885,29.7961,10141250,5070625,0.647639,2.222,29.4393,"Jun 3, 13",0.05984647999544695
2013-06-04,29.9001,30.0514,29.4557,29.6779,6785606,3392803,-0.118183,-0.397,29.7647,"Jun 4, 13",0.055642109157133884
2013-06-05,29.5928,29.7536,29.1201,29.191,6205356,3102678,-0.486908,-1.641,29.3315,"Jun 5, 13",0.038323089181036836
2013-06-06,29.1863,29.3943,28.9357,29.3848,4761980,2380990,0.193817,0.664,29.1993,"Jun 6, 13",0.045216549997154284
2013-06-07,29.5361,29.8245,29.4274,29.6637,5332382,2666191,0.278909,0.949,29.6121,"Jun 7, 13",0.05513701553696421
2013-06-10,29.7394,30.0088,29.659,29.8008,5480116,2740058,0.137091,0.462,29.8457,"Jun 10, 13",0.060013658869728426
2013-06-11,29.451,29.7536,29.295,29.3801,5540312,2770156,-0.420726,-1.412,29.4882,"Jun 11, 13",0.04504937112287281
2013-06-12,29.5786,29.5786,29.0019,29.0303,5442454,2721227,-0.349822,-1.191,29.1754,"Jun 12, 13",0.0326069944795401
2013-06-13,28.9783,29.2714,28.8506,29.1957,7836804,3918402,0.165455,0.57,29.1257,"Jun 13, 13",0.038490268055318314
2013-06-14,29.1343,29.4983,29.1248,29.2572,5222280,2611140,0.061456,0.21,29.2916,"Jun 14, 13",0.04067782141027827
2013-06-17,29.4888,29.6496,29.2241,29.2808,7512886,3756443,0.023636,0.081,29.4028,"Jun 17, 13",0.04151727277901078
2013-06-18,29.2336,29.4274,29.1296,29.3801,9070916,4535458,0.099275,0.339,29.3419,"Jun 18, 13",0.04504937112287281
2013-06-19,29.3754,29.4699,29.1815,29.191,9223444,4611722,-0.189091,-0.644,29.3506,"Jun 19, 13",0.038323089181036836
2013-06-20,28.9924,29.1343,28.6663,28.7325,9824024,4912012,-0.458549,-1.571,28.9019,"Jun 20, 13",0.022014256445279153
2013-06-21,28.7514,29.0161,28.3968,28.6332,10095028,5047514,-0.099272,-0.346,28.6872,"Jun 21, 13",0.018482158101417
2013-06-24,28.4393,28.6048,27.943,28.3401,9489318,4744659,-0.293094,-1.024,28.2397,"Jun 24, 13",0.008056598941437522
2013-06-25,28.5623,28.8317,28.3401,28.5481,10901208,5450604,0.208,0.734,28.6271,"Jun 25, 13",0.015455153377724655
2013-06-26,28.7703,29.3659,28.7372,29.2383,11379284,5689642,0.690186,2.418,29.1649,"Jun 26, 13",0.04000554891582711
2013-06-27,29.7205,29.9001,29.3706,29.4605,11575918,5787959,0.222182,0.76,29.6166,"Jun 27, 13",0.0479091969722838
2013-06-28,29.2808,30.2877,28.4488,30.1034,26818762,13409381,0.642911,2.182,29.4554,"Jun 28, 13",0.07077713277559611
2013-07-01,30.2263,30.5336,29.4037,29.4652,14398574,7199287,-0.638184,-2.12,29.8869,"Jul 1, 13",0.04807637584656528
2013-07-02,29.2761,29.8197,29.2619,29.6023,7402270,3701135,0.137091,0.465,29.6083,"Jul 2, 13",0.0529530191793295
2013-07-03,29.4226,29.7512,29.3565,29.7157,3377294,1688647,0.113456,0.383,29.6272,"Jul 3, 13",0.05698665414603595
2013-07-05,29.8576,30.1743,29.8528,30.0845,5158938,2579469,0.368727,1.241,30.0291,"Jul 5, 13",0.07010486028114495
2013-07-08,30.2547,30.5666,30.0088,30.1223,6982646,3491323,0.037821,0.126,30.2292,"Jul 8, 13",0.07144940527004714
2013-07-09,30.2547,30.387,29.971,30.2216,6989460,3494730,0.09927,0.33,30.1877,"Jul 9, 13",0.07498150361390916
2013-07-10,30.2121,30.2121,29.9332,30.0656,5101678,2550839,-0.155999,-0.516,30.0594,"Jul 10, 13",0.06943258778669392
2013-07-11,30.3492,30.4627,29.9899,30.1223,7148004,3574002,0.056729,0.189,30.147,"Jul 11, 13",0.07144940527004714
2013-07-12,30.0797,30.1743,30.0136,30.0986,4424292,2212146,-0.023639,-0.078,30.0777,"Jul 12, 13",0.07060639690398951
2013-07-15,29.9994,30.0892,29.9001,29.9474,5761842,2880921,-0.151272,-0.503,29.9699,"Jul 15, 13",0.06522821694838073
2013-07-16,29.8481,30.0017,29.5314,29.6401,6858164,3429082,-0.307273,-1.026,29.7235,"Jul 16, 13",0.05429756416823169
2013-07-17,29.5928,30.0986,29.5786,29.9379,6247556,3123778,0.29782,1.005,29.9737,"Jul 17, 13",0.06489030220249264
2013-07-18,29.8954,30.1506,29.7346,29.9332,4486686,2243343,-0.004731,-0.016,29.9842,"Jul 18, 13",0.06472312332821117
2013-07-19,29.9001,30.0599,29.8197,29.9474,5919356,2959678,0.014184,0.047,29.9467,"Jul 19, 13",0.06522821694838073
2013-07-22,29.8339,30.0514,29.7063,29.919,5581572,2790786,-0.028364,-0.095,29.9075,"Jul 22, 13",0.06421802970804161
2013-07-23,30.0277,30.0561,29.8481,29.8717,4289512,2144756,-0.047273,-0.158,29.9301,"Jul 23, 13",0.06253556997325134
2013-07-24,29.8717,29.9852,29.5786,29.607,4705330,2352665,-0.264728,-0.886,29.6834,"Jul 24, 13",0.05312019805361098
2013-07-25,29.6637,29.7299,29.4037,29.5408,8886682,4443341,-0.066183,-0.224,29.5527,"Jul 25, 13",0.050765465824369665
2013-07-26,29.3328,29.5928,29.3234,29.5597,5518364,2759182,0.018909,0.064,29.5275,"Jul 26, 13",0.0514377383188207
2013-07-29,29.4274,29.6826,29.4274,29.6448,5075646,2537823,0.085093,0.288,29.6109,"Jul 29, 13",0.05446474304251317
2013-07-30,29.6165,29.8292,29.6117,29.711,6399898,3199949,0.066182,0.223,29.7505,"Jul 30, 13",0.05681947527175448
2013-07-31,29.8386,30.0183,29.6732,29.7441,8461854,4230927,0.03309,0.111,29.8169,"Jul 31, 13",0.057996841386375196
2013-08-01,29.8954,31.2521,29.8954,31.1859,15823314,7911657,1.4418,4.847,30.6803,"Aug 1, 13",0.10928162882021507
2013-08-02,31.1954,31.4885,30.9212,31.3419,7499708,3749854,0.156001,0.5,31.239,"Aug 2, 13",0.11483054464743032
2013-08-05,31.2947,31.4554,31.2757,31.3892,4212986,2106493,0.047273,0.151,31.3768,"Aug 5, 13",0.11651300438222059
2013-08-06,31.3467,31.6019,31.1457,31.4554,6244008,3122004,0.066182,0.211,31.3898,"Aug 6, 13",0.11886773661146204
2013-08-07,31.2663,31.3136,31.0157,31.0252,5897876,2948938,-0.430183,-1.368,31.1029,"Aug 7, 13",0.10356553411871834
2013-08-08,31.2285,31.4128,31.0961,31.2237,5057336,2528668,0.198545,0.64,31.2438,"Aug 8, 13",0.11062617380911725
2013-08-09,31.1623,31.5499,31.1245,31.3467,5644752,2822376,0.12291,0.394,31.3493,"Aug 9, 13",0.11500128051903692
2013-08-12,31.2427,31.4837,31.2237,31.4412,4401734,2200867,0.094546,0.302,31.3959,"Aug 12, 13",0.11836264299129234
2013-08-13,31.4885,31.5547,31.0536,31.1103,4299400,2149700,-0.33091,-1.052,31.1768,"Aug 13, 13",0.10659253884241068
2013-08-14,30.9779,31.0394,30.3634,30.4201,5961856,2980928,-0.690185,-2.219,30.5359,"Aug 14, 13",0.08204214330430822
2013-08-15,30.1506,30.2547,29.8576,30.0136,6227880,3113940,-0.406545,-1.336,30.0691,"Aug 15, 13",0.06758294917762217
2013-08-16,29.9899,30.4012,29.9426,30.0892,5261216,2630608,0.075635,0.252,30.1299,"Aug 16, 13",0.07027203915542655
2013-08-19,30.1128,30.7817,30.0183,30.5903,7708920,3854460,0.501094,1.665,30.5655,"Aug 19, 13",0.08809615275169304
2013-08-20,30.5147,31.063,30.4026,30.5525,7668206,3834103,-0.037819,-0.124,30.7382,"Aug 20, 13",0.08675160776279084
2013-08-21,30.5241,30.7227,30.2736,30.3161,4770400,2385200,-0.236364,-0.774,30.455,"Aug 21, 13",0.07834286608616459
2013-08-22,30.3019,30.8077,30.2074,30.6612,5055914,2527957,0.345091,1.138,30.6484,"Aug 22, 13",0.09061806385521595
2013-08-23,30.8077,30.8314,30.2074,30.3539,8044446,4022223,-0.307273,-1.002,30.3628,"Aug 23, 13",0.07968741107506679
2013-08-26,30.4501,30.6066,30.3173,30.3173,5485232,2742616,-0.036619,-0.121,30.4233,"Aug 26, 13",0.07838555005406628
2013-08-27,30.0043,30.2319,29.7813,29.7908,4870954,2435477,-0.526474,-1.737,29.9724,"Aug 27, 13",0.059657959137214694
2013-08-28,29.7481,30.213,29.7149,30.0564,6045020,3022510,0.265607,0.892,30.0469,"Aug 28, 13",0.06910534403278122
2013-08-29,29.8762,30.2888,29.824,30.1086,4599900,2299950,0.052174,0.174,30.1154,"Aug 29, 13",0.07096209663650323
2013-08-30,30.2177,30.2556,29.6912,29.7956,5851098,2925549,-0.313038,-1.04,29.8508,"Aug 30, 13",0.0598286950088213
2013-09-03,30.1703,30.7821,30.1181,30.4928,8213954,4106977,0.697221,2.34,30.4937,"Sep 3, 13",0.08462808035968347
2013-09-04,30.5118,31.0596,30.4975,30.8912,7101448,3550724,0.398412,1.307,30.9402,"Sep 4, 13",0.0987991577030334
2013-09-05,30.8295,31.1023,30.6825,31.0098,5271602,2635801,0.118575,0.384,30.9731,"Sep 5, 13",0.10301775653064697
2013-09-06,31.0193,31.0904,30.4359,30.8201,4632742,2316371,-0.18972,-0.612,30.8737,"Sep 6, 13",0.09627013260486021
2013-09-09,30.858,31.1094,30.7963,31.0193,4148048,2074024,0.199207,0.646,30.9542,"Sep 9, 13",0.10335567127653518
2013-09-10,31.6359,31.7687,31.2849,31.6928,13380006,6690003,0.673506,2.171,31.5935,"Sep 10, 13",0.12731204826133957
2013-09-11,31.7687,32.167,31.6928,32.058,9112442,4556221,0.365213,1.152,32.0202,"Sep 11, 13",0.14030220249274364
2013-09-12,32.2335,32.6793,32.1576,32.2904,8249744,4124872,0.232406,0.725,32.3968,"Sep 12, 13",0.14856866427636434
2013-09-13,32.205,32.3189,31.8683,32.2098,6584802,3292401,-0.08063,-0.25,32.1116,"Sep 13, 13",0.1457017244323032
2013-09-16,32.6082,32.6414,32.2098,32.3426,5346774,2673387,0.132805,0.412,32.3227,"Sep 16, 13",0.15042541688008634
2013-09-17,32.3378,32.5702,32.243,32.4042,7752388,3876194,0.061658,0.191,32.3709,"Sep 17, 13",0.15261652723237157
2013-09-18,32.2382,33.1299,32.2192,32.9544,8547912,4273956,0.550191,1.698,32.6959,"Sep 18, 13",0.1721871265152808
2013-09-19,33.092,33.4667,32.6366,32.9639,14627828,7313914,0.009485,0.029,33.0152,"Sep 19, 13",0.172525041261169
2013-09-20,32.8216,32.9639,32.2999,32.9022,37035244,18517622,-0.061661,-0.187,32.839,"Sep 20, 13",0.17033037391155878
2013-09-23,32.7789,32.9876,32.2714,32.7173,11021970,5510985,-0.184976,-0.562,32.6085,"Sep 23, 13",0.16375348585737862
2013-09-24,32.9354,33.0682,32.8181,32.9307,7322992,3661496,0.213435,0.652,32.9558,"Sep 24, 13",0.17134411814922315
2013-09-25,32.9307,32.9781,32.6034,32.6888,7883246,3941623,-0.241893,-0.735,32.7734,"Sep 25, 13",0.16273974161971425
2013-09-26,32.8358,33.4335,32.7979,33.3623,13539286,6769643,0.673508,2.06,33.5224,"Sep 26, 13",0.18669611860451865
2013-09-27,35.4872,35.6911,34.79,34.9275,31183010,15591505,1.5652,4.691,35.1258,"Sep 27, 13",0.24237024073757896
2013-09-30,34.2919,34.7046,34.2255,34.4532,14797168,7398584,-0.474298,-1.358,34.542,"Sep 30, 13",0.22549940242444938
2013-10-01,34.6429,34.7425,34.1591,34.3489,10441232,5220616,-0.104348,-0.303,34.3921,"Oct 1, 13",0.22178945421433038
2013-10-02,34.1686,34.273,33.9552,34.0975,8751656,4375828,-0.251379,-0.732,34.2031,"Oct 2, 13",0.21284716293893327
2013-10-03,34.0975,34.3868,33.7038,33.9789,7144518,3572259,-0.118576,-0.348,34.0419,"Oct 3, 13",0.20862856411131983
2013-10-04,34.0406,34.3157,33.8271,34.2161,7168108,3584054,0.237151,0.698,34.225,"Oct 4, 13",0.217065761766547
2013-10-07,33.8698,34.1354,33.8176,33.8366,5172806,2586403,-0.379441,-1.109,33.9504,"Oct 7, 13",0.20356695691764823
2013-10-08,33.8935,34.4485,33.2841,33.3339,7540640,3770320,-0.502758,-1.486,33.5441,"Oct 8, 13",0.18568593136417955
2013-10-09,33.4477,33.9006,33.1821,33.6232,9282128,4641064,0.289322,0.868,32.8969,"Oct 9, 13",0.1959763246258037
2013-10-10,34.2208,34.8374,34.1212,34.8326,11104826,5552413,1.2095,3.597,34.5934,"Oct 10, 13",0.2389946502760229
2013-10-11,34.8469,34.9702,34.567,34.8421,10792202,5396101,0.009486,0.027,34.772,"Oct 11, 13",0.2393325650219111
2013-10-14,34.6002,35.1789,34.5196,35.1267,6199812,3099906,0.284582,0.817,34.9247,"Oct 14, 13",0.2494557794092538
2013-10-15,35.0508,35.2737,34.8184,34.9607,7951298,3975649,-0.166005,-0.473,35.0418,"Oct 15, 13",0.2435511638495248
2013-10-16,35.1409,35.3923,34.9654,35.3449,8751696,4375848,0.384184,1.099,35.296,"Oct 16, 13",0.25721714757270503
2013-10-17,35.2643,35.4065,35.1386,35.3544,9384356,4692178,0.009487,0.027,35.3114,"Oct 17, 13",0.257555062318593
2013-10-18,35.3591,36.0421,35.2263,36.0137,9830738,4915369,0.659276,1.865,35.7475,"Oct 18, 13",0.28100634568322796
2013-10-21,35.9947,36.2223,35.8097,36.0895,9992572,4996286,0.075889,0.211,36.0354,"Oct 21, 13",0.28370254965568265
2013-10-22,36.099,36.2793,35.8192,36.0279,6818722,3409361,-0.061659,-0.171,36.0602,"Oct 22, 13",0.28151143930339767
2013-10-23,35.8287,36.0184,35.6247,35.8382,4761936,2380968,-0.189719,-0.527,35.8128,"Oct 23, 13",0.2747638153776108
2013-10-24,35.8619,35.9425,35.6864,35.8144,5626336,2813168,-0.023718,-0.066,35.8315,"Oct 24, 13",0.2739172500142279
2013-10-25,35.8382,36.2176,35.7386,35.9046,6889096,3444548,0.090117,0.252,35.9282,"Oct 25, 13",0.2771256616015025
2013-10-28,35.9283,36.0374,35.748,35.8144,6136702,3068351,-0.090117,-0.251,35.846,"Oct 28, 13",0.2739172500142279
2013-10-29,35.9425,36.1322,35.8263,36.0042,4201014,2100507,0.189721,0.53,35.9814,"Oct 29, 13",0.2806684309373398
2013-10-30,36.3362,36.469,36.0231,36.1085,6314256,3157128,0.104345,0.29,36.247,"Oct 30, 13",0.2843783791474588
2013-10-31,36.0658,36.1749,35.639,35.933,8184376,4092188,-0.175492,-0.486,36.083,"Oct 31, 13",0.2781358488418416
2013-11-01,35.952,36.2508,35.8809,36.0753,4221690,2110845,0.142292,0.396,36.0464,"Nov 1, 13",0.28319745603551294
2013-11-04,36.2034,36.303,35.8714,36.2223,3609130,1804565,0.147032,0.408,36.0995,"Nov 4, 13",0.28842624210346574
2013-11-05,36.0658,36.6729,35.9899,36.616,6333190,3166595,0.393671,1.087,36.4782,"Nov 5, 13",0.3024301405725342
2013-11-06,36.8342,36.8342,36.118,36.4073,3945342,1972671,-0.208693,-0.57,36.3811,"Nov 6, 13",0.29500668715497114
2013-11-07,36.616,36.6634,35.8856,35.9046,6250786,3125393,-0.502759,-1.381,36.1539,"Nov 7, 13",0.2771256616015025
2013-11-08,35.8524,36.5876,35.8477,36.5781,5821628,2910814,0.673508,1.876,36.3799,"Nov 8, 13",0.3010820385863069
2013-11-11,36.6634,36.6919,36.3884,36.597,3523196,1761598,0.018973,0.052,36.7902,"Nov 11, 13",0.301754311080758
2013-11-12,36.5212,36.6445,36.2366,36.4595,4327480,2163740,-0.137549,-0.376,36.4485,"Nov 12, 13",0.29686343975869317
2013-11-13,36.303,36.9433,36.2627,36.9243,4802144,2401072,0.464815,1.275,36.7221,"Nov 13, 13",0.3133963633259348
2013-11-14,37.1045,37.3796,36.9433,37.299,4764342,2382171,0.374699,1.015,37.1931,"Nov 14, 13",0.3267244323032268
2013-11-15,37.1804,37.6026,37.114,37.5741,5774512,2887256,0.275094,0.738,37.4308,"Nov 15, 13",0.33650973194468153
2013-11-18,37.6595,37.6595,37.152,37.2706,5693202,2846601,-0.303553,-0.808,37.3893,"Nov 18, 13",0.3257142450628877
2013-11-19,37.1899,37.2943,36.782,36.9053,6443264,3221632,-0.36521,-0.98,37.0085,"Nov 19, 13",0.3127205338341584
2013-11-20,36.9955,37.28,36.8674,36.9196,5892974,2946487,0.014227,0.039,37.0425,"Nov 20, 13",0.3132291844516533
2013-11-21,36.9101,37.0998,36.7155,37.0381,4671450,2335725,0.118575,0.321,37.0006,"Nov 21, 13",0.31744422628194174
