date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-04-15,16.3097,16.3582,15.8928,15.98,2935383,2935383,-0.184235,-1.14,16.0915,"Apr 15, 13",0
2013-04-16,15.9703,16.0867,15.8637,16.0576,1838830,1838830,0.077572,0.485,16.0017,"Apr 16, 13",0.004856070087609533
2013-04-17,15.98,16.0285,15.7085,15.9122,2006538,2006538,-0.145448,-0.906,15.896,"Apr 17, 13",-0.004242803504380481
2013-04-18,15.854,15.854,15.6019,15.6891,1749412,1749412,-0.223022,-1.402,15.7061,"Apr 18, 13",-0.01820400500625786
2013-04-19,16.0382,16.1982,15.9316,16.1449,1901517,1901517,0.45574,2.905,16.1065,"Apr 19, 13",0.010319148936170175
2013-04-22,15.9413,16.0188,15.8055,16.0188,1574698,1574698,-0.126055,-0.781,15.9436,"Apr 22, 13",0.002428035043804655
2013-04-23,15.9994,16.3388,15.9994,16.1643,1457583,1457583,0.145448,0.908,16.1679,"Apr 23, 13",0.011533166458072612
2013-04-24,15.951,16.0964,15.9073,15.9897,1675672,1675672,-0.174537,-1.08,15.9893,"Apr 24, 13",0.0006070087609511082
2013-04-25,16.5812,16.9788,16.397,16.6782,6628709,6628709,0.68846,4.306,16.7418,"Apr 25, 13",0.043692115143929906
2013-04-26,16.1352,16.3485,15.7861,15.98,4838507,4838507,-0.698158,-4.186,15.969,"Apr 26, 13",0
2013-04-29,15.9606,16.0867,15.9413,16.0576,1156699,1156699,0.077572,0.485,16.0319,"Apr 29, 13",0.004856070087609533
2013-04-30,15.9897,16.0285,15.8346,15.9316,1838500,1838500,-0.126055,-0.785,15.9197,"Apr 30, 13",-0.003028785982478153
2013-05-01,15.7764,15.8249,15.7085,15.757,1383279,1383279,-0.17454,-1.096,15.7607,"May 1, 13",-0.013954943679599546
2013-05-02,16.2419,16.3388,16.0867,16.2806,2310631,2310631,0.523619,3.323,16.2218,"May 2, 13",0.018811013767208968
2013-05-03,16.4067,16.6591,16.2806,16.6394,2663707,2663707,0.358776,2.204,16.5802,"May 3, 13",0.04126408010012503
2013-05-06,16.5521,16.6976,16.5424,16.6103,2201963,2201963,-0.029091,-0.175,16.6367,"May 6, 13",0.039443053817271485
2013-05-07,17.0176,17.2115,16.94,17.163,3920681,3920681,0.552709,3.328,17.0775,"May 7, 13",0.07403003754693366
2013-05-08,17.2794,17.5703,17.2212,17.3957,3406129,3406129,0.232717,1.356,17.4257,"May 8, 13",0.08859198998748442
2013-05-09,17.3182,17.6921,17.0089,17.5315,3576641,3576641,0.135754,0.78,17.4743,"May 9, 13",0.09709011264080104
2013-05-10,17.26,17.5315,17.2018,17.3764,3040245,3040245,-0.155146,-0.885,17.4073,"May 10, 13",0.08738423028785981
2013-05-13,17.7351,18.6272,17.6963,18.3169,6130536,6130536,0.940574,5.413,18.2981,"May 13, 13",0.14623904881101377
2013-05-14,20.8381,21.5556,19.7423,20.1302,35285539,35285539,1.8133,9.899,20.2251,"May 14, 13",0.2597121401752189
2013-05-15,19.8878,19.9944,19.6842,19.8296,8201603,8201603,-0.300594,-1.493,19.8392,"May 15, 13",0.24090112640800992
2013-05-16,19.5872,19.946,19.4805,19.4902,4722025,4722025,-0.339384,-1.712,19.6411,"May 16, 13",0.2196620775969963
2013-05-17,19.5096,19.7617,19.4902,19.7229,4723802,4723802,0.232718,1.194,19.6761,"May 17, 13",0.23422403003754685
2013-05-20,20.4502,20.5569,20.1884,20.3338,3586525,3586525,0.610892,3.097,20.3279,"May 20, 13",0.2724530663329161
2013-05-21,20.5181,22.3992,20.2853,22.215,22386764,22386764,1.8811,9.251,21.5976,"May 21, 13",0.39017521902377966
2013-05-22,22.3022,22.6707,21.4489,21.478,15075013,15075013,-0.736945,-3.317,22.1312,"May 22, 13",0.34405506883604514
2013-05-23,20.1108,21.0514,19.9944,20.9738,10012334,10012334,-0.504223,-2.348,20.6831,"May 23, 13",0.3125031289111389
2013-05-24,20.2466,20.4987,20.169,20.3241,4413558,4413558,-0.649677,-3.098,20.3004,"May 24, 13",0.271846057571965
2013-05-28,20.0429,20.3532,19.9847,20.0429,4375883,4375883,-0.281201,-1.384,20.1434,"May 28, 13",0.25424906132665825
2013-05-29,19.403,19.6357,19.306,19.4902,6805680,6805680,-0.552708,-2.758,19.4756,"May 29, 13",0.2196620775969963
2013-05-30,19.5096,20.8574,19.4999,20.2078,14628458,14628458,0.717547,3.682,20.1945,"May 30, 13",0.26456821026282845
2013-05-31,19.5678,19.8248,19.529,19.5387,4172940,4172940,-0.669064,-3.311,19.6866,"May 31, 13",0.22269712140175207
2013-06-03,18.8115,18.9569,18.3363,18.9472,7272322,7272322,-0.591492,-3.027,18.691,"Jun 3, 13",0.18568210262828524
2013-06-04,19.4902,19.5872,18.9763,19.2187,4072438,4072438,0.271505,1.433,19.2604,"Jun 4, 13",0.20267209011264067
2013-06-05,18.7533,18.889,18.3654,18.4236,5199496,5199496,-0.795123,-4.137,18.5649,"Jun 5, 13",0.15291614518147684
2013-06-06,18.2781,18.4527,18.026,18.3848,4586496,4586496,-0.038787,-0.211,18.2194,"Jun 6, 13",0.15048811013767197
2013-06-07,18.7533,19.0636,18.5109,18.9666,3856940,3856940,0.581797,3.165,18.8894,"Jun 7, 13",0.1868961201501877
2013-06-10,19.6648,19.7423,19.4223,19.4999,3096431,3096431,0.533315,2.812,19.5874,"Jun 10, 13",0.22026908635794742
2013-06-11,19.9654,19.9751,19.529,19.6842,4832034,4832034,0.184235,0.945,19.7879,"Jun 11, 13",0.23180225281602002
2013-06-12,20.0041,20.0332,19.5678,19.6648,3401489,3401489,-0.019394,-0.099,19.7691,"Jun 12, 13",0.2305882352941176
2013-06-13,20.1011,20.4211,19.6502,20.392,10546475,10546475,0.727247,3.698,19.9651,"Jun 13, 13",0.2760951188986232
2013-06-14,19.6648,19.7908,19.0927,19.2769,6000844,6000844,-1.1151,-5.468,19.4175,"Jun 14, 13",0.206314142678348
2013-06-17,19.9266,20.4114,19.8781,20.0914,8074382,8074382,0.814519,4.225,20.1763,"Jun 17, 13",0.25728410513141425
