date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-04-15,32.6672,32.8967,32.2172,32.279,3103422,3103422,-0.441211,-1.348,32.5024,"Apr 15, 13",0
2013-04-16,32.4378,32.7731,32.2966,32.7202,2372098,2372098,0.441211,1.367,32.5843,"Apr 16, 13",0.013668329254313792
2013-04-17,32.3496,32.3496,31.2201,31.6657,3961782,3961782,-1.0545,-3.223,31.6643,"Apr 17, 13",-0.018999969020106023
2013-04-18,31.9084,32.0054,31.3171,31.4098,2220662,2220662,-0.255905,-0.808,31.5538,"Apr 18, 13",-0.026927723907184325
2013-04-19,31.4318,31.6789,30.8671,31.3348,2881480,2881480,-0.075005,-0.239,31.3934,"Apr 19, 13",-0.029251215960841476
2013-04-22,31.4318,31.8819,31.0171,31.6869,2189646,2189646,0.352086,1.124,31.5125,"Apr 22, 13",-0.01834319526627225
2013-04-23,31.926,32.2966,31.7936,32.2525,3233918,3233918,0.56563,1.785,32.1108,"Apr 23, 13",-0.0008209671922923802
2013-04-24,31.9878,32.3584,31.9613,32.2084,3074027,3074027,-0.044117,-0.137,32.2366,"Apr 24, 13",-0.0021871805198428076
2013-04-25,32.5613,33.5673,32.2525,33.3467,6062388,6062388,1.1383,3.534,33.329,"Apr 25, 13",0.03307723287586341
2013-04-26,33.4173,33.4173,32.9628,33.0378,3933092,3933092,-0.30885,-0.926,33.1086,"Apr 26, 13",0.023507543604200674
2013-04-29,33.029,33.3643,32.9143,33.2585,2905785,2905785,0.220606,0.668,33.243,"Apr 29, 13",0.030344806220762553
2013-04-30,33.2232,33.532,32.9761,33.4526,2859039,2859039,0.194132,0.584,33.3427,"Apr 30, 13",0.03635800365562729
2013-05-01,33.4261,33.6732,33.0908,33.1879,2255368,2255368,-0.264726,-0.791,33.2867,"May 1, 13",0.028157625700919963
2013-05-02,33.2938,33.6026,33.2143,33.5497,2121697,2121697,0.361792,1.09,33.4819,"May 2, 13",0.03936615136776225
2013-05-03,33.8232,34.035,33.5673,33.6732,2252199,2252199,0.123541,0.368,33.723,"May 3, 13",0.0431921682827844
2013-05-06,33.7614,33.9556,33.5144,33.5408,2999327,2999327,-0.132366,-0.393,33.6879,"May 6, 13",0.03909043031072814
2013-05-07,33.532,33.7526,33.3511,33.6511,2601091,2601091,0.110305,0.329,33.6003,"May 7, 13",0.0425075126243067
2013-05-08,33.6555,34.0438,33.5938,34.035,1828752,1828752,0.383852,1.141,33.932,"May 8, 13",0.054400693949626475
2013-05-09,33.9997,34.1938,33.8673,33.9556,1705504,1705504,-0.079416,-0.233,34.0402,"May 9, 13",0.051940890362154754
2013-05-10,34.0879,34.1762,33.9379,34.0262,1266764,1266764,0.070594,0.208,34.0276,"May 10, 13",0.05412807088199756
2013-05-13,33.884,34.0084,33.6531,33.6531,1579863,1579863,-0.373051,-1.096,33.7988,"May 13, 13",0.0425694724124043
2013-05-14,33.7242,34.0617,33.6265,34.0617,1869727,1869727,0.408565,1.214,33.8989,"May 14, 13",0.05522785712072859
2013-05-15,33.9196,34.4791,33.9107,34.4081,2991494,2991494,0.346387,1.017,34.317,"May 15, 13",0.06595929241921973
2013-05-16,34.6212,35.2874,34.3725,34.4081,3532386,3532386,0,0,34.8423,"May 16, 13",0.06595929241921973
2013-05-17,34.639,34.9232,34.5413,34.8344,2915956,2915956,0.426326,1.239,34.7917,"May 17, 13",0.07916602125220727
2013-05-20,34.7189,34.9054,34.5724,34.5946,1993420,1993420,-0.239807,-0.688,34.6729,"May 20, 13",0.07173704265931398
2013-05-21,34.7278,35.0698,34.6301,35.0564,4050880,4050880,0.461854,1.335,34.9374,"May 21, 13",0.08604355773103234
2013-05-22,34.9054,35.616,34.7545,35.092,7704526,7704526,0.035527,0.101,35.2508,"May 22, 13",0.08714644195916835
2013-05-23,34.8877,34.9587,34.5591,34.8255,3695534,3695534,-0.266456,-0.759,34.769,"May 23, 13",0.07889030019517315
2013-05-24,34.5591,35.0476,34.5591,34.9943,2827107,2827107,0.168754,0.485,34.8539,"May 24, 13",0.08411970631060438
2013-05-28,35.5272,35.8203,35.2083,35.4916,5181972,5181972,0.49738,1.421,35.5354,"May 28, 13",0.09952600762105376
2013-05-29,35.3051,36.0601,35.2074,35.9269,3828301,3828301,0.43521,1.226,35.817,"May 29, 13",0.11301155550048017
2013-05-30,36.0246,36.8328,35.9269,36.704,5392649,5392649,0.777155,2.163,36.6661,"May 30, 13",0.1370860311657733
2013-05-31,36.4154,36.6907,36.1045,36.1045,3757989,3757989,-0.599519,-1.633,36.3586,"May 31, 13",0.11851358468354031
2013-06-03,36.1223,36.2644,35.7315,36.0334,2780891,2780891,-0.071056,-0.197,35.9504,"Jun 3, 13",0.11631091421667326
